date,close,volume,open,high,low
13:57,"1,156.99","797,551","1,145.21","1,158.59","1,141.44"
2018/3/13,1138.17,1874176,1170,1176.76,1133.33
2018/3/12,1164.5,2106548,1163.85,1177.05,1157.42
2018/3/9,1160.04,2121425,1136,1160.8,1132.4606
2018/3/8,1126,1393529,1115.32,1127.6,1112.8
2018/3/7,1109.64,1277439,1089.19,1112.22,1085.4823
2018/3/6,1095.06,1497087,1099.22,1101.85,1089.775
2018/3/5,1090.93,1141932,1075.14,1097.1,1069.0001
2018/3/2,1078.92,2271394,1053.08,1081.9986,1048.115
2018/3/1,1069.52,2511872,1107.87,1110.12,1067.001
2018/2/28,1104.73,1873737,1123.03,1127.53,1103.24
2018/2/27,1118.29,1772866,1141.24,1144.04,1118
2018/2/26,1143.75,1514920,1127.8,1143.96,1126.695
2018/2/23,1126.79,1190432,1112.64,1127.28,1104.7135
2018/2/22,1106.63,1309536,1116.19,1122.82,1102.59
2018/2/21,1111.34,1507152,1106.47,1133.97,1106.33
2018/2/20,1102.46,1389491,1090.57,1113.95,1088.52
2018/2/16,1094.8,1680283,1088.41,1104.67,1088.3134
2018/2/15,1089.52,1785552,1079.07,1091.4794,1064.34
2018/2/14,1069.7,1547665,1048.95,1071.72,1046.75
2018/2/13,1052.1,1213800,1045,1058.37,1044.0872
2018/2/12,1051.94,2054002,1048,1061.5,1040.928
2018/2/9,1037.78,3503970,1017.25,1043.97,992.56
2018/2/8,1001.52,2809890,1055.41,1058.62,1000.66
2018/2/7,1048.58,2353003,1081.54,1081.78,1048.26
2018/2/6,1080.6,3432313,1027.18,1081.71,1023.1367
2018/2/5,1055.8,3769453,1090.6,1110,1052.03
2018/2/2,1111.9,4837979,1122,1123.07,1107.2779
2018/2/1,1167.7,2380221,1162.61,1174,1157.52
2018/1/31,1169.94,1523820,1170.57,1173,1159.13
2018/1/30,1163.69,1541771,1167.83,1176.52,1163.52
2018/1/29,1175.58,1337324,1176.48,1186.89,1171.98
2018/1/26,1175.84,1981173,1175.08,1175.84,1158.11
